ASIN,Titre,Statut
B071FXZBMV,"OHill 16-Pack Black Cord Organizer - Adhesive Cable Clips Holder for Desk, Wall, Car - Wire Management Clips for iPhone Charger, USB, Computer Cables -Cord Keepers with Strong Sticky Backing",success
B07FKR6KXF,"Fire 7 tablet, 7"" display, 16 GB, (2019 release), Black",success
B084J4KNDS,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,success
B08F6B347L,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Lavender",success
B087RKKXM5,Titre non trouvé,not_found
B07PF1Y28C,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – Unlimited Cloud Photo Storage – Digital Photo Display - Charcoal",success
B08DFCWVZ4,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, Carbon/Graphite, One Size (S & L Bands Included)",success
B086VRR9K9,Titre non trouvé,not_found
B07KGVB6D6,Titre non trouvé,not_found
B081RJ8DW1,Titre non trouvé,not_found
B08YKGZF7P,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",success
B08ZN8JP3G,HTTP 404,error
B07HZJ64WD,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Sandstone",success
B0148NNKTC,Titre non trouvé,not_found
B086DKGCFP,"Blink Outdoor (3rd Gen) – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – 5 camera system",success
B08F6DWKQP,"Ring Floodlight Cam Wired Plus (newest model), Outdoor home or business security with motion-activated 1080p HD video and floodlights, Black",success
B07978J597,Kindle (2019 release) - With a Built-in Front Light - Black,success
B07WGL828F,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Plum",success
B08R6S1M1K,"Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)",success
B084DCJKSL,Titre non trouvé,not_found
B07TWFVDWT,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black/Carbon, One Size (S and L Bands Included)",success
B07MVZZV3G,HTTP 404,error
B08F6GPQQ7,Titre non trouvé,not_found
B085WSCTS4,Titre non trouvé,not_found
B074JT3698,"ROVE R2-4K Dash Cam Built-in WiFi 6 GPS Car Dashboard Camera Recorder with UHD 2160P, 2.4"" IPS Screen, 150° Wide Angle, WDR, Night Vision",success
B085TC9N3K,"5ft Power Strip, SUPERDANNY Surge Protector 900 Joules, 4-Outlet 4-USB Extension Cord, Overload Switch, Grounded, Mountable, Desktop Charging Station for Home, Office, School, Dorm, Computer, Black",success
B08J65DST5,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)",success
B08F6L6HVP,Titre non trouvé,not_found
B08YSYKBLV,Echo Dot (4th Gen) with Clock | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit,success
B08ZN7QCRP,HTTP 404,error
B07F981R8M,"TCL 32-inch 1080p Roku Smart LED TV - 32S327, 2019 Model",success
B08YMBQJ49,Titre non trouvé,not_found
B07CCGBB7M,Titre non trouvé,not_found
B07GPFDL1K,"Delamu Cord Hider, 157in Wire Covers for Cords on Wall, Premium Cable Hider Cord Covers for Wires, Cable Management Wire Hiders for TV, Cable Raceway Kit, W0.95 H0.55in, White",success
B07N4DHFZM,"Tracki GPS Tracker for Vehicles – Real-Time 4G LTE Assets & Car Tracking Device with App, Magnetic Mount, Compact Design, Worldwide Coverage – iOS & Android (Subscription Required)",success
B07D25RSWX,HTTP 404,error
B08F6FYN6B,"Amazon Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Slate",success
B001E1Y5O6,Titre non trouvé,not_found
B08BNVQDWT,HTTP 404,error
B072M34RQC,"HP VH240a 23.8-inch Full HD 1080p IPS LED Monitor with Built-in Speakers and VESA Mounting, Rotating Portrait & Landscape, Tilt, and HDMI & VGA Ports (2DS80AA#ABA) - Black",success
B01171X0UW,NEEWER 50 in 1 Action Camera Accessory Kit Compatible with GoPro Hero 12 11 10 9 DJI OSMO 4 3 2 Insta360 X3 X2 GO 3 SJCAM DBPOWER AKASO VicTsing APEMAN WiMiUS QUMOX Lightdow Campark Sony Sports DV,success
B08J5Q255V,Titre non trouvé,not_found
B0758L64L9,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, Works with Alexa - White",success
B08N5LNQCX,Titre non trouvé,not_found
B079RKX5ZL,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 600 Joules, Twist-to-Close Safety Covers, Protected Indicator Light, UL Listed, Black, 37442",success
B08F58MXQG,HTTP 404,error
B08DHDS4T3,"TCL 43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",success
B07LF27WBQ,"baleaf Women's 8""/ 5""/ 3"" Biker Shorts High Waist Yoga Workout Gym Running Volleyball Spandex Shorts with Pockets",success
B07X1QPRYQ,Crocs Women's Classic Marbled Tie-dye Clogs,success
B0749FWLTP,VIFUUR Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women,success
B086VRY8GZ,"INSIGNIA NS-43DF710NA21 43-inch Smart 4K UHD - Fire TV, Released 2020",success
B071FXZBMV,Titre non trouvé,not_found
B07FKR6KXF,"Fire 7 tablet, 7"" display, 16 GB, (2019 release), Black",success
B084J4KNDS,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,success
B08F6B347L,Titre non trouvé,not_found
B087RKKXM5,Addtam USB Wall Charger Surge Protector 5 Outlet Extender with 4 USB Charging Ports (1 USB C Outlet) 3 Sided 1800J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office ETL Listed,success
B07PF1Y28C,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – Unlimited Cloud Photo Storage – Digital Photo Display - Charcoal",success
B08DFCWVZ4,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, Carbon/Graphite, One Size (S & L Bands Included)",success
B086VRR9K9,HTTP 404,error
B07KGVB6D6,"Fire TV Cube, Hands-free streaming device with Alexa, 4K Ultra HD, includes Alexa Voice Remote",success
B081RJ8DW1,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote.",success
B08YKGZF7P,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",success
B08ZN8JP3G,HTTP 404,error
B07HZJ64WD,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Sandstone",success
B0148NNKTC,Acer 23.8” Full HD 1920 x 1080 IPS Zero Frame Home Office Computer Monitor - 178° Wide View Angle - 16.7M - NTSC 72% Color Gamut - Low Blue Light - Tilt Compatible - VGA HDMI DVI R240HY bidx,success
B086DKGCFP,"Blink Outdoor (3rd Gen) – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – 5 camera system",success
B08F6DWKQP,"Ring Floodlight Cam Wired Plus (newest model), Outdoor home or business security with motion-activated 1080p HD video and floodlights, Black",success
B07978J597,Kindle (2019 release) - With a Built-in Front Light - Black,success
B07WGL828F,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Plum",success
B08R6S1M1K,"Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)",success
B084DCJKSL,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",success
B07TWFVDWT,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black/Carbon, One Size (S and L Bands Included)",success
B07MVZZV3G,HTTP 404,error
B08F6GPQQ7,"Ring Floodlight Cam Wired Plus (newest model), Outdoor home or business security with motion-activated 1080p HD video and floodlights, White",success
B085WSCTS4,"Amazon eero 6 mesh wifi system - Supports internet plans up to 500 Mbps, Coverage up to 4,500 sq. ft., Connect 75+ devices, 3-pack (1 router + 2 extenders)",success
B074JT3698,"ROVE R2-4K Dash Cam Built-in WiFi 6 GPS Car Dashboard Camera Recorder with UHD 2160P, 2.4"" IPS Screen, 150° Wide Angle, WDR, Night Vision",success
B085TC9N3K,"5ft Power Strip, SUPERDANNY Surge Protector 900 Joules, 4-Outlet 4-USB Extension Cord, Overload Switch, Grounded, Mountable, Desktop Charging Station for Home, Office, School, Dorm, Computer, Black",success
B08J65DST5,Titre non trouvé,not_found
B08F6L6HVP,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Olive",success
B08YSYKBLV,Echo Dot (4th Gen) with Clock | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit,success
B08ZN7QCRP,Titre non trouvé,not_found
B07F981R8M,"TCL 32-inch 1080p Roku Smart LED TV - 32S327, 2019 Model",success
B08YMBQJ49,"Ring Alarm 14-Piece Kit (newest model), Wireless smart home or business security system, expandable, easy setup, Mobile App Control, 24/7 Professional Monitoring, Alexa Compatible",success
B07CCGBB7M,"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 3 USB Charging Ports (1 USB C) and Night Light, 3-Sided Power Strip with Adapter Spaced Outlets - White，ETL Listed, Gray",success
B07GPFDL1K,Titre non trouvé,not_found
B07N4DHFZM,"Tracki GPS Tracker for Vehicles – Real-Time 4G LTE Assets & Car Tracking Device with App, Magnetic Mount, Compact Design, Worldwide Coverage – iOS & Android (Subscription Required)",success
B07D25RSWX,HTTP 404,error
B08F6FYN6B,"Amazon Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Slate",success
B001E1Y5O6,"VELCRO Brand ONE-WRAP Cable Ties, 100Pk, 8 x 1/2"" Black Cord Organization Straps, Thin Pre-Cut Design, Wire Management for Organizing Home, Office and Data Centers",success
B08BNVQDWT,HTTP 404,error
B072M34RQC,"HP VH240a 23.8-inch Full HD 1080p IPS LED Monitor with Built-in Speakers and VESA Mounting, Rotating Portrait & Landscape, Tilt, and HDMI & VGA Ports (2DS80AA#ABA) - Black",success
B01171X0UW,NEEWER 50 in 1 Action Camera Accessory Kit Compatible with GoPro Hero 12 11 10 9 DJI OSMO 4 3 2 Insta360 X3 X2 GO 3 SJCAM DBPOWER AKASO VicTsing APEMAN WiMiUS QUMOX Lightdow Campark Sony Sports DV,success
B08J5Q255V,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Silver (8th Generation)",success
B0758L64L9,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, Works with Alexa - White",success
B08N5LNQCX,"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",success
B079RKX5ZL,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 600 Joules, Twist-to-Close Safety Covers, Protected Indicator Light, UL Listed, Black, 37442",success
B08F58MXQG,HTTP 404,error
B08DHDS4T3,"TCL 43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",success
B095NWYQBC,"Wyze Cam Spotlight, Wyze Cam v3 Security Camera with Spotlight Kit, 1080p HD Security Camera with Two-Way Audio and Siren, IP65 Weatherproof, Compatible with Alexa and Google Assistant",success
B086VRY8GZ,"INSIGNIA NS-43DF710NA21 43-inch Smart 4K UHD - Fire TV, Released 2020",success
B079QHML21,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,success
B07FZ8S74R,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",success
B07XJ8C8F5,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",success
B07WVFCVJN,"Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV",success
B08YT2N5SX,Echo Dot (4th Gen) | Charcoal with Sengled Bluetooth Color bulb | Alexa smart home starter kit,success
B07TMJ1R3X,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Black",success
B07X6C9RMF,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",success
B08BX7FV5L,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black",success
B075XLWML4,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,success
B089DR29T6,Titre non trouvé,not_found
B07WDDT3G5,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, includes a 1-year subscription to Amazon Kids+ content, Blue Kid-Proof Case, (2020 release)",success
B086DKSHQ4,"Blink Outdoor (3rd Gen) - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 3 camera system",success
B08YSYKH19,Echo Dot (4th Gen) | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit,success
B084J4MZK8,Echo Dot (4th Gen) | Smart speaker with Alexa | Twilight Blue,success
B07HZLHPKP,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Charcoal",success
B07CXG6C9W,Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,success
B07VTK654B,Echo Auto (1st gen) - Hands-free Alexa in your car with your phone,success
B00EB4ADQW,"FUJIFILM Instax Mini Instant Film Twin Pack (White), 20 Photos",success
B07W95GZNH,Echo Dot (3rd Gen) - Smart speaker with Alexa - Plum,success
B07FPP6TB5,Titre non trouvé,not_found
B07WQ1VH72,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Twilight Blue",success
B086DL32R3,"Blink Outdoor (3rd Gen) - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera system",success
B07Q3T177V,HTTP 404,error
B00BWF5U0M,Titre non trouvé,not_found
B086DKSYTS,"Blink Outdoor (3rd Gen) - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 1 camera system",success
B08G9TJWW9,"Roku Ultra | Streaming Device HD/4K/HDR/Dolby Vision with Dolby Atmos, Bluetooth Streaming, and Roku Voice Remote with Headphone Jack and Personal Shortcuts, includes Premium HDMI® Cable",success
B01FXC7JWQ,Titre non trouvé,not_found
B07DGR98VQ,"Wyze Cam 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, White - WYZECP1",success
B07XKF5RM3,"Amazon Echo (newest model), Alexa speaker with premium sound, Ideal for large bedrooms, living rooms and kitchens, Charcoal",success
B08KY684PB,"COMSOON Bluetooth Receiver for Car, Noise Cancelling 3.5mm AUX Bluetooth Car Adapter, Wireless Audio Receiver for Home Stereo/Wired Headphones, Hands-Free Call, 16H Battery Life - Black+Silver",success
B00DOMYL24,"GE Surge Protector Power Strip, 10 Ft Extension Cord, 6 Outlet Extender, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, ETL Listed, White, 14092",success
B091N43KTX,Echo Dot (4th Gen) | Glacier White with Sengled Bluetooth Color bulb | Alexa smart home starter kit,success
B07CVL2D2S,"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",success
B0872FYTWS,"TOSHIBA 43LF421U21 43-inch Smart HD 1080p TV - Fire TV, Released 2020",success
B08ZN97SWW,Titre non trouvé,not_found
B079JD7F7G,"TP-Link Archer AC1750 WiFi Router - Dualband Gigabit, Qualcomm inside, Works with Alexa(A7), Black",success
B07WFLBX6Q,Titre non trouvé,not_found
B07H8WS1FT,"Fire 7 Kids tablet, 7"" Display, ages 3-7, 16 GB, (2019 release), Blue Kid-Proof Case",success
B086DKMSSM,"Blink Outdoor (3rd Gen) – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – Add-on camera (Sync Module required)",success
B015IY34FA,"Fujifilm Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",success
B07WJS3QDX,Titre non trouvé,not_found
B0874YZVWK,"INSIGNIA 24-inch Class F20 Series Smart HD 720p Fire TV (NS-24DF310NA21, 2020 Model)",success
B08F5LQCYP,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Denim",success
B07X27VK3D,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 2 cameras (White)",success
B07PS737QQ,Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,success
B08J61NFNR,"2020 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (8th Generation)",success
B0916TKFF2,Titre non trouvé,not_found
B086VR9J8Q,"TOSHIBA 43LF421U21 43-inch Smart HD 1080p TV - Fire TV, Released 2020",success
B07YGZL8XF,"LG 27GL83A-B 27-Inch Ultragear QHD 2560 x 1440 IPS Gaming Monitor, 144Hz, 1ms (GtG), NVIDIA G-SYNC, AMD FreeSync, HDR10, HDMI, DisplayPort, Tilt/Height/Pivot Adjustable Stand, Black",success
B095NWYQBC,"Wyze Cam Spotlight, Wyze Cam v3 Security Camera with Spotlight Kit, 1080p HD Security Camera with Two-Way Audio and Siren, IP65 Weatherproof, Compatible with Alexa and Google Assistant",success
B07PCMWTSG,Amazon eGift Card - (Instant Email or Text Delivery),success
B08F3C99KN,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (eGift)",success
B06WVJBLBQ,Titre non trouvé,not_found
B07WYVVM9G,HTTP 404,error
B07TMNH4N1,HTTP 404,error
B01FIS88SY,Amazon eGift Card - Bright Balloons (Animated),success
B086FNYH28,HTTP 404,error
B06ZY43PDR,HTTP 404,error
B074T91QTZ,HTTP 404,error
B01K8RMDO0,Titre non trouvé,not_found
B072F9T6VX,Amazon.com Gift Card in a Reveal (Various Designs),success
B08ZKYS7XT,Amazon eGift Card - Celebration - (Instant Email or Text Delivery),success
B07MB4HN9X,Amazon eGift Card - Celebration - (Instant Email or Text Delivery),success
B094Q7RNLV,Amazon eGift Card - Appreciation - (Instant Email or Text Delivery),success
B01N9GY4GF,HTTP 404,error
B01C9MW8Z6,Amazon.com Gift Card in a Birthday Cupcake Tin,success
B07J4JGMD9,HTTP 404,error
B01N5TMK8I,Visa $50 Gift Card (plus $4.95 Purchase Fee),success
B07MP6B4Y5,Titre non trouvé,not_found
B07TLL1H7F,HTTP 404,error
B07WYVVY2Z,HTTP 404,error
B00BWDH368,HTTP 404,error
B07P76HM3B,Amazon Printable Gift Card,success
B077T9WSSN,Amazon.com Gift Card in a Mini Envelope (General),success
